person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length,emp_length_missing,int_rate_missing
25.0,140232,RENT,2.0,VENTURE,A,23125,7.49,0,0.22,N,4.0,0,0
25.0,137000,RENT,9.0,PERSONAL,E,23125,16.77,0,0.25,Y,2.0,0,0
22.0,65000,RENT,4.0,EDUCATION,D,23125,17.58,1,0.44000000000000006,N,4.0,0,0
24.0,10980,OWN,0.0,PERSONAL,A,1500,7.29,0,0.14,N,3.0,0,0
22.0,80000,RENT,3.0,PERSONAL,D,23125,14.54,1,0.42,Y,4.0,0,0
24.0,67746,RENT,8.0,HOMEIMPROVEMENT,C,23125,12.68,1,0.44000000000000006,N,3.0,0,0
21.0,11000,MORTGAGE,3.0,VENTURE,E,4575,17.74,1,0.42,Y,3.0,0,0
23.0,11000,OWN,0.0,PERSONAL,A,1400,9.32,0,0.13,N,3.0,0,0
24.0,65000,RENT,6.0,HOMEIMPROVEMENT,B,23125,9.99,1,0.44000000000000006,N,3.0,0,0
21.0,11389,OTHER,5.0,EDUCATION,C,4000,12.84,1,0.35,Y,2.0,0,0
21.0,11520,OWN,5.0,MEDICAL,B,2000,11.12,1,0.17,N,3.0,0,0
25.0,120000,RENT,2.0,VENTURE,A,23125,6.62,0,0.27,N,2.0,0,0
26.0,95000,RENT,7.0,HOMEIMPROVEMENT,C,23125,14.17,1,0.33,Y,3.0,0,0
25.0,140232,RENT,2.0,DEBTCONSOLIDATION,C,23125,13.85,0,0.08,N,3.0,0,0
26.0,140232,MORTGAGE,10.0,MEDICAL,C,7800,13.49,0,0.03,N,4.0,0,0
21.0,12000,OWN,5.0,EDUCATION,A,2500,7.51,1,0.21,N,4.0,0,0
22.0,48000,RENT,1.0,EDUCATION,E,23125,18.39,1,0.44000000000000006,N,2.0,0,0
24.0,64000,RENT,8.0,DEBTCONSOLIDATION,D,23125,14.54,1,0.44000000000000006,Y,3.0,0,0
25.0,75000,RENT,4.0,HOMEIMPROVEMENT,D,23125,16.89,1,0.4,Y,4.0,0,0
23.0,71500,RENT,3.0,DEBTCONSOLIDATION,D,23125,10.99,1,0.42,N,4.0,0,1
26.0,62050,RENT,6.0,MEDICAL,E,23125,17.99,1,0.41,N,2.0,0,0
24.0,12000,OWN,4.0,VENTURE,B,2500,12.69,1,0.21,N,3.0,0,0
26.0,140232,MORTGAGE,10.0,VENTURE,A,20000,7.88,0,0.07,N,4.0,0,0
23.0,140232,OWN,1.0,EDUCATION,F,23125,19.41,0,0.08,Y,2.0,0,0
26.0,140232,OWN,9.0,HOMEIMPROVEMENT,B,10000,10.38,0,0.03,N,4.0,0,0
26.0,140232,MORTGAGE,0.0,EDUCATION,D,23125,15.33,0,0.08,N,3.0,0,0
25.0,140232,MORTGAGE,9.0,HOMEIMPROVEMENT,E,18000,16.45,0,0.06,N,3.0,0,0
26.0,80690,RENT,8.0,PERSONAL,A,23125,7.49,1,0.37,N,3.0,0,0
22.0,66300,RENT,4.0,MEDICAL,B,23125,12.69,1,0.38,N,3.0,0,0
26.0,89028,RENT,0.0,DEBTCONSOLIDATION,A,23125,6.62,1,0.34,N,3.0,0,0
24.0,78000,RENT,4.0,DEBTCONSOLIDATION,D,23125,10.99,1,0.38,Y,4.0,0,1
23.0,78000,RENT,7.0,DEBTCONSOLIDATION,F,23125,18.62,1,0.38,Y,3.0,0,0
23.0,92004,RENT,6.0,PERSONAL,C,23125,15.23,1,0.33,Y,3.0,0,0
23.0,97000,RENT,7.0,VENTURE,B,23125,10.65,1,0.31,N,2.0,0,0
25.0,120000,RENT,9.0,EDUCATION,A,23125,7.9,0,0.25,N,4.0,0,0
26.0,140232,RENT,4.0,PERSONAL,C,10000,15.96,0,0.04,Y,3.0,0,0
26.0,140232,RENT,0.0,VENTURE,B,20000,11.48,0,0.07,N,3.0,0,0
23.0,140232,OWN,3.0,PERSONAL,A,23125,10.99,0,0.13,N,4.0,0,1
25.0,128000,RENT,9.0,PERSONAL,A,23125,7.29,0,0.23,N,4.0,0,0
24.0,12000,OWN,2.0,VENTURE,E,1750,10.99,0,0.15,Y,3.0,0,1
21.0,131000,RENT,0.0,VENTURE,A,23125,5.99,0,0.23,N,4.0,0,0
22.0,140232,OWN,6.0,VENTURE,B,12000,11.58,0,0.04,N,2.0,0,0
26.0,140232,MORTGAGE,0.0,EDUCATION,B,10000,10.99,1,0.04,N,4.0,0,1
25.0,140232,MORTGAGE,9.0,MEDICAL,D,23125,15.7,1,0.1,N,2.0,0,0
22.0,70000,RENT,6.0,EDUCATION,D,23125,15.99,1,0.42,N,3.0,0,0
22.0,12000,MORTGAGE,7.0,EDUCATION,D,1500,14.84,0,0.13,Y,3.0,0,0
26.0,140232,OWN,10.0,HOMEIMPROVEMENT,B,23125,10.99,0,0.11,N,3.0,0,0
25.0,140232,MORTGAGE,9.0,HOMEIMPROVEMENT,D,20000,14.42,0,0.08,Y,2.0,0,0
24.0,140232,MORTGAGE,9.0,EDUCATION,A,9600,6.99,0,0.04,N,2.0,0,0
25.0,140232,RENT,2.0,MEDICAL,C,23125,13.49,0,0.1,N,4.0,0,0
25.0,12000,OWN,0.0,MEDICAL,C,3000,10.99,1,0.25,N,3.0,0,1
22.0,56950,RENT,6.0,MEDICAL,A,23125,10.99,1,0.44000000000000006,N,2.0,0,1
21.0,12000,OWN,6.0,EDUCATION,C,3000,13.61,1,0.25,Y,3.0,0,0
23.0,65000,RENT,2.0,EDUCATION,A,23125,7.9,1,0.43,N,2.0,0,0
26.0,85000,RENT,2.0,VENTURE,A,23125,7.49,1,0.33,N,3.0,0,0
26.0,12000,OWN,2.0,EDUCATION,A,6100,7.51,1,0.44000000000000006,N,3.0,0,0
22.0,88000,RENT,6.0,VENTURE,B,23125,9.91,1,0.32,N,3.0,0,0
21.0,12000,OWN,0.0,PERSONAL,C,4200,13.48,1,0.35,Y,4.0,0,0
22.0,12000,OWN,6.0,DEBTCONSOLIDATION,A,4750,7.14,1,0.4,N,2.0,0,0
24.0,83004,RENT,0.0,VENTURE,D,23125,15.99,1,0.34,Y,4.0,0,0
24.0,140232,RENT,2.0,EDUCATION,C,18000,12.98,0,0.07,Y,3.0,0,0
40.5,140232,RENT,4.0,VENTURE,C,4800,13.57,0,0.02,N,3.0,0,0
25.0,100000,RENT,5.0,DEBTCONSOLIDATION,B,23125,12.69,0,0.28,N,3.0,0,0
26.0,110000,RENT,10.0,EDUCATION,A,23125,8.9,0,0.25,N,2.0,0,0
26.0,12000,OWN,0.0,DEBTCONSOLIDATION,A,2700,10.99,1,0.23,N,4.0,0,1
22.0,108000,RENT,6.0,EDUCATION,B,23125,10.99,1,0.26,N,4.0,0,1
23.0,140232,RENT,7.0,DEBTCONSOLIDATION,B,23125,11.11,0,0.19,N,2.0,0,0
24.0,69000,RENT,2.0,HOMEIMPROVEMENT,A,23125,10.99,1,0.4,N,2.0,0,1
21.0,12000,MORTGAGE,5.0,DEBTCONSOLIDATION,E,3250,15.68,1,0.27,Y,3.0,0,0
22.0,70000,RENT,4.0,EDUCATION,C,23125,13.06,1,0.39,Y,3.0,0,0
22.0,140232,OWN,6.0,PERSONAL,B,23125,10.99,0,0.1,N,2.0,0,1
26.0,73200,RENT,5.0,VENTURE,D,23125,15.62,1,0.37,Y,2.0,0,0
24.0,83000,RENT,5.0,PERSONAL,C,23125,13.49,1,0.33,Y,2.0,0,0
24.0,73399,RENT,0.0,VENTURE,D,23125,10.99,1,0.37,N,3.0,0,1
23.0,62500,RENT,7.0,MEDICAL,B,23125,11.71,1,0.42,N,2.0,0,0
23.0,120000,RENT,1.0,EDUCATION,B,23125,12.69,0,0.21,N,3.0,0,0
24.0,12360,OWN,2.0,MEDICAL,C,1600,13.57,0,0.13,N,3.0,0,0
22.0,60000,RENT,0.0,VENTURE,B,23125,10.99,1,0.42,N,3.0,0,0
25.0,140232,MORTGAGE,3.0,MEDICAL,C,20000,14.27,0,0.09,Y,4.0,0,0
24.0,140232,OWN,8.0,HOMEIMPROVEMENT,B,20000,8.88,0,0.09,N,4.0,0,0
26.0,140232,MORTGAGE,10.0,HOMEIMPROVEMENT,B,21600,12.18,0,0.09,N,3.0,0,0
25.0,140232,MORTGAGE,6.0,DEBTCONSOLIDATION,D,11900,14.42,1,0.05,Y,3.0,0,0
26.0,140232,MORTGAGE,0.0,MEDICAL,C,23125,14.17,0,0.11,Y,2.0,0,0
25.0,140232,MORTGAGE,5.0,MEDICAL,C,23125,13.99,0,0.15,N,4.0,0,0
23.0,83000,RENT,7.0,EDUCATION,B,23125,10.99,1,0.3,N,3.0,0,0
22.0,12600,MORTGAGE,-1.0,PERSONAL,A,2000,5.42,1,0.16,N,4.0,1,0
25.0,12600,OWN,3.0,PERSONAL,C,1750,13.61,0,0.14,N,3.0,0,0
21.0,42500,RENT,3.0,EDUCATION,C,23125,12.73,1,0.44000000000000006,Y,3.0,0,0
24.0,41000,RENT,2.0,HOMEIMPROVEMENT,D,23125,10.99,1,0.44000000000000006,N,3.0,0,1
25.0,12816,OWN,0.0,DEBTCONSOLIDATION,C,3000,12.87,1,0.23,Y,4.0,0,0
24.0,12960,MORTGAGE,1.0,HOMEIMPROVEMENT,B,3650,9.91,1,0.28,N,3.0,0,0
26.0,140232,MORTGAGE,4.0,HOMEIMPROVEMENT,B,20000,11.49,0,0.09,N,4.0,0,0
25.0,140232,MORTGAGE,0.0,HOMEIMPROVEMENT,E,23125,19.91,0,0.13,Y,2.0,0,0
26.0,140232,MORTGAGE,6.0,EDUCATION,B,23125,10.65,1,0.16,N,2.0,0,0
24.0,140232,RENT,0.0,MEDICAL,B,6000,10.99,0,0.03,N,4.0,0,1
24.0,12960,MORTGAGE,0.0,DEBTCONSOLIDATION,B,4500,11.83,1,0.35,N,4.0,0,0
23.0,12996,OWN,0.0,DEBTCONSOLIDATION,C,2400,13.49,1,0.18,Y,2.0,0,0
22.0,42000,RENT,6.0,MEDICAL,D,23125,14.59,1,0.44000000000000006,Y,2.0,0,0
26.0,48000,RENT,2.0,EDUCATION,B,23125,9.64,1,0.44000000000000006,N,4.0,0,0
25.0,12996,OWN,1.0,MEDICAL,D,3600,14.59,1,0.28,N,3.0,0,0
22.0,12996,OWN,1.0,EDUCATION,B,4750,10.99,1,0.37,N,3.0,0,1
25.0,42360,RENT,1.0,EDUCATION,E,23125,16.35,1,0.44000000000000006,Y,3.0,0,0
21.0,49000,RENT,4.0,EDUCATION,B,23125,10.99,1,0.44000000000000006,N,2.0,0,0
25.0,140232,MORTGAGE,0.0,VENTURE,F,23125,18.67,0,0.11,N,2.0,0,0
26.0,140232,RENT,1.0,EDUCATION,A,3000,9.32,0,0.01,N,4.0,0,0
23.0,140232,RENT,8.0,DEBTCONSOLIDATION,A,7500,8.63,0,0.03,N,2.0,0,0
26.0,140232,MORTGAGE,2.0,VENTURE,B,23125,10.08,0,0.11,N,2.0,0,0
22.0,49464,RENT,5.0,PERSONAL,B,23125,11.83,1,0.44000000000000006,N,3.0,0,0
23.0,50000,RENT,1.0,DEBTCONSOLIDATION,A,23125,7.9,1,0.44000000000000006,N,3.0,0,0
25.0,50000,RENT,4.0,HOMEIMPROVEMENT,A,23125,5.99,1,0.44000000000000006,N,2.0,0,0
24.0,44000,RENT,2.0,DEBTCONSOLIDATION,D,23125,15.33,1,0.44000000000000006,N,2.0,0,0
23.0,50000,RENT,1.0,VENTURE,B,23125,11.83,1,0.44000000000000006,N,4.0,0,0
22.0,50004,RENT,0.0,VENTURE,B,23125,10.36,1,0.44000000000000006,N,2.0,0,0
22.0,50004,RENT,3.0,VENTURE,C,23125,12.23,1,0.44000000000000006,N,3.0,0,0
22.0,52000,RENT,2.0,EDUCATION,B,23125,11.11,1,0.44000000000000006,N,4.0,0,0
23.0,13200,OWN,3.0,DEBTCONSOLIDATION,A,4950,7.9,1,0.38,N,4.0,0,0
24.0,140232,MORTGAGE,1.0,EDUCATION,B,23125,11.58,0,0.11,N,2.0,0,0
23.0,140232,MORTGAGE,5.0,DEBTCONSOLIDATION,A,21000,8.9,0,0.1,N,3.0,0,0
25.0,140232,MORTGAGE,2.0,EDUCATION,D,23125,16.07,0,0.12,N,3.0,0,0
26.0,140232,MORTGAGE,10.0,EDUCATION,C,20000,14.22,0,0.09,Y,2.0,0,0
23.0,140232,MORTGAGE,7.0,MEDICAL,C,23125,14.79,0,0.16,Y,3.0,0,0
26.0,140232,MORTGAGE,11.0,EDUCATION,A,12000,7.88,0,0.06,N,2.0,0,0
23.0,52000,RENT,1.0,PERSONAL,C,23125,13.22,1,0.44000000000000006,N,2.0,0,0
26.0,46000,RENT,2.0,DEBTCONSOLIDATION,D,23125,11.86,1,0.44000000000000006,N,4.0,0,0
22.0,53000,RENT,5.0,EDUCATION,C,23125,13.43,1,0.44000000000000006,Y,4.0,0,0
26.0,47000,RENT,0.0,HOMEIMPROVEMENT,D,23125,15.28,1,0.44000000000000006,Y,2.0,0,0
23.0,47000,RENT,1.0,VENTURE,E,23125,17.93,1,0.44000000000000006,N,2.0,0,0
23.0,13200,MORTGAGE,2.0,EDUCATION,B,1400,9.25,0,0.11,N,4.0,0,0
21.0,13200,OWN,0.0,VENTURE,C,4500,12.98,1,0.34,N,4.0,0,0
22.0,140232,MORTGAGE,6.0,VENTURE,B,16000,10.62,0,0.08,N,4.0,0,0
26.0,140232,OWN,10.0,PERSONAL,B,22000,11.83,0,0.1,N,4.0,0,0
26.0,48000,RENT,5.0,VENTURE,F,23125,18.43,1,0.44000000000000006,N,2.0,0,0
22.0,54996,RENT,6.0,EDUCATION,B,23125,10.99,1,0.44000000000000006,N,4.0,0,1
24.0,55000,RENT,4.0,HOMEIMPROVEMENT,D,23125,10.99,1,0.44000000000000006,Y,4.0,0,1
23.0,55000,RENT,4.0,EDUCATION,B,23125,11.36,1,0.44000000000000006,N,3.0,0,0
23.0,55000,RENT,4.0,EDUCATION,D,23125,15.65,1,0.44000000000000006,Y,3.0,0,0
24.0,55164,RENT,8.0,PERSONAL,C,23125,13.22,1,0.44000000000000006,Y,4.0,0,0
26.0,56000,RENT,4.0,DEBTCONSOLIDATION,C,23125,12.87,1,0.44000000000000006,N,2.0,0,0
24.0,140232,OWN,8.0,MEDICAL,C,20000,13.04,0,0.1,N,3.0,0,0
23.0,140232,MORTGAGE,5.0,EDUCATION,F,22000,17.58,1,0.12,Y,3.0,0,0
23.0,13920,OWN,2.0,PERSONAL,E,7750,17.04,1,0.44000000000000006,N,4.0,0,0
24.0,60000,RENT,0.0,PERSONAL,B,23125,10.99,1,0.42,N,3.0,0,0
24.0,60000,RENT,2.0,PERSONAL,B,23125,11.11,1,0.42,N,3.0,0,0
26.0,54000,RENT,7.0,DEBTCONSOLIDATION,D,23125,14.83,1,0.44000000000000006,Y,2.0,0,0
23.0,14000,OWN,2.0,DEBTCONSOLIDATION,D,4000,10.99,1,0.29,N,3.0,0,1
24.0,140232,RENT,8.0,MEDICAL,B,12000,12.69,0,0.06,N,2.0,0,0
24.0,140232,MORTGAGE,8.0,HOMEIMPROVEMENT,C,12000,13.49,0,0.06,N,2.0,0,0
21.0,140232,MORTGAGE,5.0,EDUCATION,C,16000,14.65,0,0.08,N,4.0,0,0
25.0,54000,RENT,3.0,HOMEIMPROVEMENT,E,23125,16.82,1,0.44000000000000006,N,4.0,0,0
23.0,60000,RENT,3.0,PERSONAL,C,23125,12.73,1,0.42,N,3.0,0,0
23.0,60000,RENT,7.0,PERSONAL,B,23125,10.25,1,0.42,N,4.0,0,0
21.0,60000,RENT,6.0,EDUCATION,B,23125,10.99,1,0.42,N,4.0,0,0
25.0,61959,RENT,9.0,MEDICAL,C,23125,12.73,1,0.4,N,2.0,0,0
22.0,56400,RENT,2.0,HOMEIMPROVEMENT,D,23125,14.96,1,0.44,Y,3.0,0,0
23.0,140232,MORTGAGE,7.0,EDUCATION,A,23125,10.99,0,0.14,N,2.0,0,1
21.0,140232,MORTGAGE,2.0,DEBTCONSOLIDATION,C,23125,13.99,0,0.13,N,2.0,0,0
24.0,140232,MORTGAGE,3.0,VENTURE,A,23125,7.49,0,0.12,N,4.0,0,0
26.0,140232,MORTGAGE,4.0,EDUCATION,C,15000,14.79,0,0.07,N,3.0,0,0
25.0,140232,MORTGAGE,2.0,DEBTCONSOLIDATION,B,15500,11.99,0,0.08,N,2.0,0,0
24.0,140232,RENT,8.0,EDUCATION,A,10000,8.49,0,0.05,N,4.0,0,0
24.0,66000,RENT,3.0,EDUCATION,B,23125,9.91,1,0.38,N,2.0,0,0
22.0,66000,RENT,6.0,EDUCATION,C,23125,13.06,1,0.38,Y,3.0,0,0
22.0,140232,MORTGAGE,6.0,DEBTCONSOLIDATION,A,9000,6.17,0,0.04,N,4.0,0,0
40.5,140232,MORTGAGE,4.0,EDUCATION,B,6000,11.86,0,0.03,N,2.0,0,0
25.0,140232,RENT,5.0,EDUCATION,D,18000,16.32,0,0.09,N,3.0,0,0
25.0,140232,MORTGAGE,2.0,VENTURE,B,12000,10.38,0,0.06,N,2.0,0,0
25.0,140232,MORTGAGE,9.0,PERSONAL,C,23050,14.35,0,0.12,N,3.0,0,0
24.0,140232,MORTGAGE,8.0,DEBTCONSOLIDATION,B,20000,10.99,0,0.1,N,3.0,0,1
24.0,60000,RENT,2.0,DEBTCONSOLIDATION,E,23125,10.99,1,0.42,Y,2.0,0,1
21.0,14400,OWN,0.0,HOMEIMPROVEMENT,B,3000,10.99,1,0.21,N,4.0,0,1
26.0,66996,RENT,10.0,PERSONAL,D,23125,15.21,1,0.37,Y,2.0,0,0
23.0,67000,RENT,3.0,EDUCATION,A,23125,7.9,1,0.37,N,4.0,0,0
24.0,67000,RENT,2.0,VENTURE,B,23125,10.99,1,0.37,N,3.0,0,0
24.0,68000,RENT,5.0,PERSONAL,D,23125,14.09,1,0.37,Y,3.0,0,0
25.0,69000,RENT,9.0,PERSONAL,D,23125,17.49,1,0.36,N,2.0,0,0
25.0,140232,MORTGAGE,0.0,EDUCATION,B,12000,11.48,0,0.06,N,3.0,0,0
26.0,140232,MORTGAGE,10.0,VENTURE,E,20000,17.74,1,0.11,N,2.0,0,0
26.0,140232,MORTGAGE,4.0,PERSONAL,C,3000,13.92,0,0.01,N,3.0,0,0
25.0,69996,RENT,9.0,EDUCATION,D,23125,15.21,1,0.36,N,3.0,0,0
22.0,14400,OWN,2.0,MEDICAL,B,4000,10.99,1,0.28,N,3.0,0,0
24.0,70000,RENT,3.0,EDUCATION,B,23125,11.86,1,0.36,N,4.0,0,0
24.0,14400,OWN,5.0,PERSONAL,A,6000,7.49,1,0.42,N,3.0,0,0
24.0,56100,RENT,7.0,MEDICAL,D,23125,16.49,1,0.38,N,4.0,0,0
25.0,66000,RENT,9.0,VENTURE,D,23125,15.33,1,0.38,Y,2.0,0,0
26.0,66000,RENT,3.0,HOMEIMPROVEMENT,B,23125,11.58,1,0.38,N,4.0,0,0
25.0,14400,OWN,7.0,EDUCATION,A,5375,5.79,1,0.37,N,2.0,0,0
25.0,72612,RENT,9.0,MEDICAL,C,23125,13.11,1,0.34,N,2.0,0,0
23.0,74000,RENT,3.0,MEDICAL,B,23125,10.36,1,0.34,N,3.0,0,0
25.0,75000,RENT,9.0,DEBTCONSOLIDATION,B,23125,10.36,1,0.33,N,2.0,0,0
24.0,140232,RENT,0.0,MEDICAL,C,22000,10.99,0,0.11,Y,2.0,0,1
21.0,140232,MORTGAGE,14.5,VENTURE,A,20000,6.54,0,0.1,N,4.0,0,0
25.0,140232,MORTGAGE,1.0,MEDICAL,B,10000,12.53,0,0.05,N,4.0,0,0
26.0,140232,MORTGAGE,5.0,PERSONAL,A,15000,10.99,0,0.08,N,3.0,0,1
22.0,140232,MORTGAGE,3.0,VENTURE,C,10000,10.99,0,0.05,N,3.0,0,1
24.0,75000,RENT,4.0,EDUCATION,B,23125,10.25,1,0.33,N,4.0,0,0
22.0,71000,RENT,1.0,EDUCATION,D,23125,15.95,1,0.35,Y,4.0,0,0
26.0,140232,MORTGAGE,3.0,VENTURE,B,20000,12.18,0,0.11,N,4.0,0,0
23.0,140232,OWN,0.0,PERSONAL,B,23125,11.83,0,0.13,N,3.0,0,0
23.0,78000,RENT,7.0,DEBTCONSOLIDATION,C,23125,10.99,1,0.32,Y,2.0,0,1
23.0,78000,RENT,1.0,VENTURE,B,23125,10.62,1,0.32,N,3.0,0,0
23.0,78504,RENT,7.0,VENTURE,B,23125,10.74,1,0.32,N,3.0,0,0
25.0,140232,OWN,9.0,VENTURE,B,10000,10.25,0,0.05,N,4.0,0,0
24.0,140232,MORTGAGE,-1.0,EDUCATION,B,23125,12.42,0,0.19,N,2.0,1,0
25.0,140232,RENT,6.0,VENTURE,C,15000,15.27,0,0.08,N,2.0,0,0
24.0,62050,RENT,8.0,MEDICAL,D,23125,15.33,1,0.34,Y,2.0,0,0
23.0,79416,RENT,7.0,VENTURE,D,23125,15.21,1,0.31,Y,2.0,0,0
21.0,14400,OWN,4.0,VENTURE,C,6250,14.72,1,0.43,N,2.0,0,0
24.0,79631,RENT,8.0,PERSONAL,D,23125,15.7,1,0.31,Y,2.0,0,0
24.0,79632,RENT,0.0,EDUCATION,C,23125,13.35,1,0.31,N,4.0,0,0
21.0,14400,MORTGAGE,0.0,MEDICAL,C,1500,10.99,0,0.1,N,4.0,0,1
24.0,80000,RENT,6.0,EDUCATION,A,23125,6.62,1,0.31,N,2.0,0,0
26.0,80000,RENT,5.0,DEBTCONSOLIDATION,C,23125,13.61,1,0.31,N,4.0,0,0
22.0,140232,RENT,4.0,MEDICAL,B,23125,11.36,0,0.14,N,2.0,0,0
26.0,140232,OWN,10.0,PERSONAL,A,5000,7.68,0,0.03,N,2.0,0,0
24.0,140232,RENT,7.0,HOMEIMPROVEMENT,D,22000,14.46,0,0.12,Y,4.0,0,0
23.0,140232,OWN,5.0,EDUCATION,B,2500,11.83,0,0.01,N,2.0,0,0
24.0,140232,MORTGAGE,6.0,DEBTCONSOLIDATION,C,20000,13.47,1,0.12,Y,4.0,0,0
24.0,140232,MORTGAGE,2.0,MEDICAL,B,20000,11.49,0,0.11,N,3.0,0,0
22.0,140232,MORTGAGE,3.0,EDUCATION,A,1000,10.99,0,0.01,N,2.0,0,1
25.0,140232,MORTGAGE,9.0,PERSONAL,A,15000,6.03,0,0.08,N,3.0,0,0
23.0,74004,RENT,7.0,DEBTCONSOLIDATION,E,23125,16.35,1,0.34,N,4.0,0,0
26.0,74004,RENT,10.0,DEBTCONSOLIDATION,D,23125,10.99,1,0.34,Y,4.0,0,1
25.0,81000,RENT,5.0,DEBTCONSOLIDATION,A,23125,7.29,1,0.31,N,3.0,0,0
23.0,81600,RENT,1.0,MEDICAL,B,23125,11.36,1,0.31,N,3.0,0,0
24.0,82000,RENT,8.0,VENTURE,B,23125,10.25,0,0.3,N,2.0,0,0
24.0,83000,RENT,5.0,EDUCATION,B,23125,11.12,0,0.3,N,3.0,0,0
24.0,83000,RENT,5.0,PERSONAL,D,23125,12.92,0,0.3,Y,3.0,0,0
24.0,140232,RENT,8.0,EDUCATION,E,18000,18.64,0,0.1,Y,4.0,0,0
23.0,140232,MORTGAGE,8.0,PERSONAL,A,23125,7.51,0,0.16,N,3.0,0,0
23.0,14400,OWN,2.0,HOMEIMPROVEMENT,E,4000,16.7,1,0.28,N,2.0,0,0
22.0,14400,OWN,0.0,PERSONAL,B,2100,11.14,0,0.15,N,4.0,0,0
22.0,84500,RENT,6.0,PERSONAL,F,23125,18.3,0,0.3,N,4.0,0,0
24.0,85000,RENT,5.0,MEDICAL,B,23125,10.62,0,0.29,N,4.0,0,0
24.0,140232,MORTGAGE,7.0,VENTURE,B,14000,11.99,0,0.08,N,2.0,0,0
26.0,140232,MORTGAGE,2.0,VENTURE,B,12000,9.63,0,0.07,N,4.0,0,0
25.0,140232,MORTGAGE,9.0,MEDICAL,F,10000,18.25,1,0.06,N,4.0,0,0
23.0,14664,MORTGAGE,0.0,DEBTCONSOLIDATION,C,6000,10.99,1,0.41,N,4.0,0,1
24.0,87000,RENT,8.0,HOMEIMPROVEMENT,D,23125,14.84,0,0.29,N,3.0,0,0
24.0,75000,RENT,0.0,VENTURE,E,23125,14.7,1,0.33,Y,3.0,0,0
23.0,76000,RENT,7.0,DEBTCONSOLIDATION,D,23125,16.02,1,0.33,N,4.0,0,0
23.0,66215,RENT,1.0,MEDICAL,D,23125,15.37,1,0.32,Y,2.0,0,0
25.0,90000,RENT,9.0,MEDICAL,B,23125,10.99,0,0.28,N,4.0,0,0
21.0,15000,OWN,0.0,HOMEIMPROVEMENT,A,6200,7.9,1,0.41,N,2.0,0,0
26.0,140232,OWN,2.0,PERSONAL,B,23125,10.99,0,0.14,N,4.0,0,0
24.0,140232,OWN,8.0,EDUCATION,B,21000,11.48,0,0.12,N,3.0,0,0
25.0,140232,OWN,9.0,MEDICAL,C,20000,14.26,0,0.11,Y,4.0,0,0
26.0,140232,OWN,0.0,HOMEIMPROVEMENT,A,10000,8.0,0,0.06,N,4.0,0,0
25.0,140232,MORTGAGE,3.0,VENTURE,B,9950,11.26,0,0.06,N,2.0,0,0
23.0,15000,OWN,7.0,MEDICAL,B,4475,10.99,1,0.3,N,4.0,0,1
23.0,78000,RENT,2.0,VENTURE,D,23125,16.32,1,0.32,Y,3.0,0,0
25.0,66300,RENT,3.0,MEDICAL,E,23125,17.93,1,0.32,Y,4.0,0,0
23.0,90000,RENT,0.0,DEBTCONSOLIDATION,B,23125,11.36,0,0.28,N,3.0,0,0
